"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-04-04";"2018-04-04";"16:30";892,819,365;Bela Vista;Kamilla;Marcos;"2";false;false;false;false;false;false;true;false;false;
"2018-04-04";"4/4/2018";"15:45";892,820,994;Bela Vista;Kamilla;Walter;"3";false;false;false;false;false;false;false;false;false;falar no anúncio que não tinha espaço para máquina de lavar no apto
"2018-04-04";"4/4/2018";"15:45";892,820,994;Bela Vista;Kamilla;Walter;"3";false;false;false;false;false;false;false;false;false;falar no anúncio que não tinha espaço para máquina de lavar no apto
"2018-04-04";"2018-04-04";"15:30";892,821,603;Vila Mariana;Fernanda;Carlos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"9:15";892,824,797;�gua Branca;Márcio;Maria;"5";true;true;true;true;true;false;false;false;false;
"2018-04-04";"2018-04-04";"9:30";892,824,204;�gua Branca;Márcio;Maria;"5";false;true;false;true;true;false;false;false;false;
"2018-04-02";"2018-04-02";"13:30";892,820,652;Bosque da Saúde;Alef;Sandro;"3";false;false;false;false;false;true;true;false;false;
"2018-04-02";"2018-04-02";"13:30";892,813,930;Botafogo;Aline;Luiz;"5";true;true;false;false;true;false;false;false;false;
"2018-04-04";"2018-04-04";"8:15";892,818,750;Bela Vista;Wilson;Alexandre;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-04";"2018-04-04";"16:30";892,819,649;Campo Belo;Dante;Celia;"1";false;false;false;false;false;false;true;false;false;
"2018-04-02";"2018-04-02";"9:30";892,823,989;Saúde;Gabriela;Sylvia;"4";false;false;false;false;false;false;false;true;false;
"2018-04-04";"2018-04-04";"9:30";892,815,960;Vila da Saúde;Gabriela;Demetrius;"2";false;false;false;false;false;false;true;false;false;
"2018-04-04";"2018-04-04";"10:30";892,816,352;Vila da Saúde;Gabriela;Marialva;"5";true;true;true;true;true;false;false;false;false;
"2018-04-04";"2018-04-04";"13:00";892,784,325;Barra Funda;Arthur;Marcello;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"8:00";892,825,352;Bela Vista;Arthur;Sergio;"3";false;false;false;false;false;false;false;false;false;cozinha escura
"2018-04-06";"2018-04-06";"8:30";892,792,354;Jardim Brasil (zona Sul);Gabriel;Rosana;"5";true;false;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"8:45";892,783,032;Perdizes;Douglas;Danilo;"3";false;false;false;false;false;false;true;true;false;
"2018-04-06";"2018-04-06";"9:00";892,824,890;Vila Mariana;Naraline;Maria;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"9:00";892,822,197;Vila Alpina;Denise;Maria;"3";false;false;false;false;false;false;false;true;false;
"2018-04-06";"2018-04-06";"9:15";892,814,108;Vila Nova;Hugo;Diogo;"5";false;true;true;true;true;false;false;false;false;
"2018-04-06";"4/6/2018";"8:00";892,786,195;Centro;Filipe;Araci;"5";true;true;true;false;true;false;false;false;false;um dos melhores que visitamos
"2018-04-06";"2018-04-06";"8:00";892,824,523;Cidade Monções;Luiz;Abigail;"4";false;false;false;false;false;false;false;true;false;
"2018-04-06";"2018-04-06";"8:45";892,822,925;Vila Olímpia;Talita;Werner;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"8:45";892,822,925;Vila Olímpia;Talita;Werner;"5";true;true;true;true;true;false;false;false;false;
"2018-04-06";"2018-04-06";"10:15";892,820,553;Copacabana;Bruno;Rosana;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-04-06";"4/6/2018";"8:45";892,823,837;Vila Industrial;Filipe;Antonio;"4";false;false;false;false;false;true;true;false;false;a localização deixou a desejar, além da má conservação da alguns lugares
"2018-04-06";"4/6/2018";"10:15";892,822,926;Cambuí;Filipe;Wesley;"4";false;false;false;false;false;false;true;false;false;apartamento muito sujo, precisa se de uma boa limpeza! além disto adoramos o apartamento.
